LAKE,MIDAS,BASIN,DEPTH,AREA,LAYRVOL,VOL_Z,AREAPCT,VOLPCT,A_Vratio
UPPE,98,1,0,903476,866986,6230173,100,100,0.15
UPPE,98,1,1,831000,793204,5363187,91.98,86.08,0.15
UPPE,98,1,2,756000,721733,4569983,83.68,73.35,0.17
UPPE,98,1,3,688000,649358,3848250,76.15,61.77,0.18
UPPE,98,1,4,611468,575875,3198892,67.68,51.35,0.19
UPPE,98,1,5,541000,504982,2623017,59.88,42.1,0.21
UPPE,98,1,6,469800,432890,2118035,52,34,0.22
UPPE,98,1,7,397000,358432,1685145,43.94,27.05,0.24
UPPE,98,1,8,321201,304949,1326713,35.55,21.29,0.24
UPPE,98,1,9,288980,268229,1021764,31.99,16.4,0.28
UPPE,98,1,10,248000,230637,753535,27.45,12.09,0.33
UPPE,98,1,11,213700,195386,522898,23.65,8.39,0.41
UPPE,98,1,12,177628,144643,327512,19.66,5.26,0.54
UPPE,98,1,13,114000,96500,182869,12.62,2.94,0.62
UPPE,98,1,14,80000,61110,86369,8.85,1.39,0.93
UPPE,98,1,15,44000,23862,25259,4.87,0.41,1.74
UPPE,98,1,16,8382,1397,1397,0.93,0.02,6
UPPE,98,1,16.5,0,0,0,0,0,0
LOWE,103,1,0,843760,816227,7509580,100,100,0.11
LOWE,103,1,1,789000,757282,6693353,93.51,89.13,0.12
LOWE,103,1,2,726000,696292,5936071,86.04,79.05,0.12
LOWE,103,1,3,667000,638288,5239779,79.05,69.77,0.13
LOWE,103,1,4,610000,579741,4601491,72.3,61.27,0.13
LOWE,103,1,5,550000,520221,4021750,65.18,53.55,0.14
LOWE,103,1,6,491000,461696,3501529,58.19,46.63,0.14
LOWE,103,1,7,433000,401809,3039833,51.32,40.48,0.14
LOWE,103,1,8,371405,355587,2638024,44.02,35.13,0.14
LOWE,103,1,9,340000,324631,2282437,40.3,30.39,0.15
LOWE,103,1,10,309500,290548,1957806,36.68,26.07,0.16
LOWE,103,1,11,272000,255629,1667258,32.24,22.2,0.16
LOWE,103,1,12,239600,222589,1411629,28.4,18.8,0.17
LOWE,103,1,13,206000,188745,1189040,24.41,15.83,0.17
LOWE,103,1,14,172000,155726,1000295,20.38,13.32,0.17
LOWE,103,1,15,140000,121827,844569,16.59,11.25,0.17
LOWE,103,1,16,104517,100735,722742,12.39,9.62,0.14
LOWE,103,1,17,97000,92971,622007,11.5,8.28,0.16
LOWE,103,1,18,89000,84358,529036,10.55,7.04,0.17
LOWE,103,1,19,79800,75357,444678,9.46,5.92,0.18
LOWE,103,1,20,71000,66039,369321,8.41,4.92,0.19
LOWE,103,1,21,61200,56538,303282,7.25,4.04,0.2
LOWE,103,1,22,52000,49071,246744,6.16,3.29,0.21
LOWE,103,1,23,46200,41160,197673,5.48,2.63,0.23
LOWE,103,1,24,36318,33624,156513,4.3,2.08,0.23
LOWE,103,1,25,31000,29994,122889,3.67,1.64,0.25
LOWE,103,1,26,29000,26202,92895,3.44,1.24,0.31
LOWE,103,1,27,23500,21726,66693,2.79,0.89,0.35
LOWE,103,1,28,20000,16911,44967,2.37,0.6,0.44
LOWE,103,1,29,14000,12470,28056,1.66,0.37,0.5
LOWE,103,1,30,11000,9460,15586,1.3,0.21,0.71
LOWE,103,1,31,8000,5750,6126,0.95,0.08,1.31
LOWE,103,1,32,3764,376,376,0.45,0.01,10.01
LOWE,103,1,32.3,0,0,0,0,0,0
SQUA,1672,1,0,33104450,32146595,350273250,100,100,0.09
SQUA,1672,1,1,31198160,30240008,318126655,94.24,90.82,0.1
SQUA,1672,1,2,29291870,28333380,287886647,88.48,82.19,0.1
SQUA,1672,1,3,27385580,26426705,259553267,82.72,74.1,0.11
SQUA,1672,1,4,25479290,24519969,233126562,76.97,66.56,0.11
SQUA,1672,1,5,23573000,22613158,208606593,71.21,59.56,0.11
SQUA,1672,1,6,21666710,20881806,185993435,65.45,53.1,0.12
SQUA,1672,1,7,20106617,19321323,165111629,60.74,47.14,0.12
SQUA,1672,1,8,18546527,17760771,145790306,56.02,41.62,0.13
SQUA,1672,1,9,16986437,16200131,128029535,51.31,36.55,0.13
SQUA,1672,1,10,15426347,14639373,111829404,46.6,31.93,0.14
SQUA,1672,1,11,13866257,13078456,97190031,41.89,27.75,0.14
SQUA,1672,1,12,12306167,11735260,84111575,37.17,24.01,0.15
SQUA,1672,1,13,11173465,10602072,72376315,33.75,20.66,0.15
SQUA,1672,1,14,10040765,9468768,61774243,30.33,17.64,0.16
SQUA,1672,1,15,8908065,8335299,52305475,26.91,14.93,0.17
SQUA,1672,1,16,7775365,7201588,43970176,23.49,12.55,0.18
SQUA,1672,1,17,6642665,6067498,36768588,20.07,10.5,0.18
SQUA,1672,1,18,5509965,5226306,30701090,16.64,8.76,0.18
SQUA,1672,1,19,4947690,4663727,25474784,14.95,7.27,0.19
SQUA,1672,1,20,4385414,4101063,20811057,13.25,5.94,0.21
SQUA,1672,1,21,3823138,3538275,16709994,11.55,4.77,0.23
SQUA,1672,1,22,3260862,2975293,13171719,9.85,3.76,0.25
SQUA,1672,1,23,2698586,2411980,10196426,8.15,2.91,0.26
SQUA,1672,1,24,2136310,1974301,7784446,6.45,2.22,0.27
SQUA,1672,1,25,1816609,1654181,5810145,5.49,1.66,0.31
SQUA,1672,1,26,1496906,1333858,4155964,4.52,1.19,0.36
SQUA,1672,1,27,1177203,1013139,2822106,3.56,0.81,0.42
SQUA,1672,1,28,857500,691462,1808967,2.59,0.52,0.47
SQUA,1672,1,29,537797,366123,1117505,1.62,0.32,0.48
SQUA,1672,1,30,218094,202110,751382,0.66,0.21,0.29
SQUA,1672,1,31,186537,170515,549272,0.56,0.16,0.34
SQUA,1672,1,32,154980,138902,378757,0.47,0.11,0.41
SQUA,1672,1,33,123423,107257,239855,0.37,0.07,0.51
SQUA,1672,1,34,91866,75536,132598,0.28,0.04,0.69
SQUA,1672,1,35,60309,43567,57062,0.18,0.02,1.06
SQUA,1672,1,36,28752,13322,13495,0.09,0,2.13
SQUA,1672,1,37,2588,173,173,0.01,0,14.96
SQUA,1672,1,37.2,0,0,0,0,0,0
CROS,1674,1,0,10270530,9930850,65876983,100,100,0.16
CROS,1674,1,1,9595000,9245323,55946133,93.42,84.93,0.17
CROS,1674,1,2,8900000,8535236,46700810,86.66,70.89,0.19
CROS,1674,1,3,8175596,7733666,38165574,79.6,57.93,0.21
CROS,1674,1,4,7300000,6834838,30431908,71.08,46.2,0.24
CROS,1674,1,5,6380000,5896608,23597070,62.12,35.82,0.27
CROS,1674,1,6,5426082,5007359,17700462,52.83,26.87,0.31
CROS,1674,1,7,4600000,4224596,12693103,44.79,19.27,0.36
CROS,1674,1,8,3860000,3439639,8468507,37.58,12.86,0.46
CROS,1674,1,9,3035757,2553550,5028868,29.56,7.63,0.6
CROS,1674,1,10,2100000,1629150,2475318,20.45,3.76,0.85
CROS,1674,1,11,1200000,645956,846168,11.68,1.28,1.42
CROS,1674,1,12,221874,163233,200212,2.16,0.3,1.11
CROS,1674,1,13,110937,36979,36979,1.08,0.06,3
CROS,1674,1,14,0,0,0,0,0,0
LONG,1682,1,0,27609845,27102348,424017862,100,100,0.07
LONG,1682,1,1,26598000,25996700,396915514,96.34,93.61,0.07
LONG,1682,1,2,25400000,24797580,370918814,92,87.48,0.07
LONG,1682,1,3,24200000,23597306,346121234,87.65,81.63,0.07
LONG,1682,1,4,22999700,22485404,322523928,83.3,76.06,0.07
LONG,1682,1,5,21975000,21359572,300038524,79.59,70.76,0.07
LONG,1682,1,6,20750000,20197504,278678952,75.15,65.72,0.07
LONG,1682,1,7,19650000,18900105,258481448,71.17,60.96,0.08
LONG,1682,1,8,18160000,17728262,239581343,65.77,56.5,0.08
LONG,1682,1,9,17300000,16736877,221853081,62.66,52.32,0.08
LONG,1682,1,10,16180000,15601468,205116204,58.6,48.37,0.08
LONG,1682,1,11,15030000,14393458,189514736,54.44,44.69,0.08
LONG,1682,1,12,13766165,13532413,175121278,49.86,41.3,0.08
LONG,1682,1,13,13300000,13028564,161588865,48.17,38.11,0.08
LONG,1682,1,14,12759000,8047273,148560301,46.21,35.04,0.09
LONG,1682,1,15,4126653,7461835,140513028,14.95,33.14,0.03
LONG,1682,1,16,11400000,11098648,133051193,41.29,31.38,0.09
LONG,1682,1,17,10800000,10579237,121952545,39.12,28.76,0.09
LONG,1682,1,18,10360000,9980120,111373308,37.52,26.27,0.09
LONG,1682,1,19,9605000,9300860,101393188,34.79,23.91,0.09
LONG,1682,1,20,9.00E+06,8723555,92092328,32.6,21.72,0.1
LONG,1682,1,21,8450000,8163342,83368773,30.61,19.66,0.1
LONG,1682,1,22,7880000,7486613,75205431,28.54,17.74,0.1
LONG,1682,1,23,7100000,6802337,67718818,25.72,15.97,0.1
LONG,1682,1,24,6508954,6368968,60916481,23.57,14.37,0.11
LONG,1682,1,25,6230000,6069297,54547513,22.56,12.86,0.11
LONG,1682,1,26,5910000,5643941,48478216,21.41,11.43,0.12
LONG,1682,1,27,5382000,5149273,42834275,19.49,10.1,0.13
LONG,1682,1,28,4920000,4748986,37685002,17.82,8.89,0.13
LONG,1682,1,29,4580000,4392180,32936016,16.59,7.77,0.14
LONG,1682,1,30,4207000,4006352,28543836,15.24,6.73,0.15
LONG,1682,1,31,3809000,3622934,24537484,13.8,5.79,0.16
LONG,1682,1,32,3440000,3469957,20914550,12.46,4.93,0.16
LONG,1682,1,33,3500000,3038874,17444593,12.68,4.11,0.2
LONG,1682,1,34,2600000,2335170,14405719,9.42,3.4,0.18
LONG,1682,1,35,2080000,1866934,12070549,7.53,2.85,0.17
LONG,1682,1,36,1661687,1600458,10203615,6.02,2.41,0.16
LONG,1682,1,37,1540000,1469444,8603157,5.58,2.03,0.18
LONG,1682,1,38,1400000,1326840,7133713,5.07,1.68,0.2
LONG,1682,1,39,1255000,1187370,5806873,4.55,1.37,0.22
LONG,1682,1,40,1121000,1058395,4619503,4.06,1.09,0.24
LONG,1682,1,41,997000,926118,3561108,3.61,0.84,0.28
LONG,1682,1,42,857000,781832,2634990,3.1,0.62,0.33
LONG,1682,1,43,709000,643421,1853158,2.57,0.44,0.38
LONG,1682,1,44,580000,512059,1209737,2.1,0.29,0.48
LONG,1682,1,45,447000,371066,697678,1.62,0.16,0.64
LONG,1682,1,46,3.00E+05,220141,326612,1.09,0.08,0.92
LONG,1682,1,47,149000,82530,106471,0.54,0.03,1.4
LONG,1682,1,48,30822,21013,23941,0.11,0.01,1.29
LONG,1682,1,49,12549,2928,2928,0.05,0,4.29
LONG,1682,1,49.7,0,0,0,0,0,0
MADA,1802,1,0,4075288,3886134,20942091,100,100,0.19
MADA,1802,1,1,3700000,3515951,17055957,90.79,81.44,0.22
MADA,1802,1,2,3335060,3166052,13540006,81.84,64.65,0.25
MADA,1802,1,3,3.00E+06,2836232,10373954,73.61,49.54,0.29
MADA,1802,1,4,2675557,2433904,7537722,65.65,35.99,0.35
MADA,1802,1,5,2200000,1958211,5103818,53.98,24.37,0.43
MADA,1802,1,6,1725996,1455054,3145607,42.35,15.02,0.55
MADA,1802,1,7,1200000,929332,1690553,29.45,8.07,0.71
MADA,1802,1,8,682806,524061,761221,16.75,3.63,0.9
MADA,1802,1,9,380000,194811,237160,9.32,1.13,1.6
MADA,1802,1,10,57113,38008,42349,1.4,0.2,1.35
MADA,1802,1,11,21703,4341,4341,0.53,0.02,5
MADA,1802,1,11.6,0,0,0,0,0,0
MADA,1802,2,0,2069934,1984361,9433882,100,100,0.22
MADA,1802,2,1,1900000,1812854,7449521,91.79,78.97,0.26
MADA,1802,2,2,1727083,1642833,5636667,83.44,59.75,0.31
MADA,1802,2,3,1560000,1483244,3993834,75.36,42.34,0.39
MADA,1802,2,4,1407789,1155281,2510590,68.01,26.61,0.56
MADA,1802,2,5,920000,661777,1355309,44.45,14.37,0.68
MADA,1802,2,6,433678,354049,693532,20.95,7.35,0.63
MADA,1802,2,7,280000,192688,339483,13.53,3.6,0.82
MADA,1802,2,8,117038,97934,146795,5.65,1.56,0.8
MADA,1802,2,9,80000,48121,48861,3.86,0.52,1.64
MADA,1802,2,10,22210,740,740,1.07,0.01,30.01
MADA,1802,2,10.1,0,0,0,0,0,0
SAND,3130,1,0,965951,916539,4689210,100,100,0.21
SAND,3130,1,1,868000,812679,3772671,89.86,80.45,0.23
SAND,3130,1,2,758587,690199,2959992,78.53,63.12,0.26
SAND,3130,1,3,624000,551587,2269793,64.6,48.4,0.27
SAND,3130,1,4,482215,435293,1718206,49.92,36.64,0.28
SAND,3130,1,5,390000,347420,1282913,40.37,27.36,0.3
SAND,3130,1,6,306514,276222,935493,31.73,19.95,0.33
SAND,3130,1,7,247000,204458,659271,25.57,14.06,0.37
SAND,3130,1,8,164687,155250,454813,17.05,9.7,0.36
SAND,3130,1,9,146000,124314,299563,15.11,6.39,0.49
SAND,3130,1,10,103823,89551,175249,10.75,3.74,0.59
SAND,3130,1,11,76000,58374,85698,7.87,1.83,0.89
SAND,3130,1,12,42374,25710,27324,4.39,0.58,1.55
SAND,3130,1,13,12107,1614,1614,1.25,0.03,7.5
SAND,3130,1,13.4,0,0,0,0,0,0
HANC,3132,1,0,3085732,2888411,17174633,100,100,0.18
HANC,3132,1,1,2695485,2497819,14286222,87.35,83.18,0.19
HANC,3132,1,2,2305237,2107099,11788403,74.71,68.64,0.2
HANC,3132,1,3,1914989,1812298,9681304,62.06,56.37,0.2
HANC,3132,1,4,1711512,1608701,7869006,55.47,45.82,0.22
HANC,3132,1,5,1508035,1405068,6260305,48.87,36.45,0.24
HANC,3132,1,6,1304558,1194363,4855237,42.28,28.27,0.27
HANC,3132,1,7,1087459,976897,3660874,35.24,21.32,0.3
HANC,3132,1,8,870360,759219,2683977,28.21,15.63,0.32
HANC,3132,1,9,653261,582037,1924758,21.17,11.21,0.34
HANC,3132,1,10,513608,441943,1342721,16.64,7.82,0.38
HANC,3132,1,11,373963,301431,900778,12.12,5.24,0.42
HANC,3132,1,12,234314,208641,599347,7.59,3.49,0.39
HANC,3132,1,13,183981,158146,390706,5.96,2.27,0.47
HANC,3132,1,14,133648,107495,232560,4.33,1.35,0.57
HANC,3132,1,15,83315,69398,125065,2.7,0.73,0.67
HANC,3132,1,16,56356,42152,55667,1.83,0.32,1.01
HANC,3132,1,17,29397,13434,13515,0.95,0.08,2.18
HANC,3132,1,18,2438,81,81,0.08,0,30.1
HANC,3132,1,18.1,0,0,0,0,0,0
MOOS,3134,1,0,3457898,3358463,30165191,100,100,0.11
MOOS,3134,1,1,3260000,3159472,26806728,94.28,88.87,0.12
MOOS,3134,1,2,3060000,2957414,23647256,88.49,78.39,0.13
MOOS,3134,1,3,2856000,2752358,20689842,82.59,68.59,0.14
MOOS,3134,1,4,2650000,2547344,17937484,76.64,59.46,0.15
MOOS,3134,1,5,2446048,2336176,15390140,70.74,51.02,0.16
MOOS,3134,1,6,2228000,2112975,13053964,64.43,43.27,0.17
MOOS,3134,1,7,2.00E+06,1899122,10940989,57.84,36.27,0.18
MOOS,3134,1,8,1800000,1693915,9041867,52.05,29.97,0.2
MOOS,3134,1,9,1590000,1477694,7347952,45.98,24.36,0.22
MOOS,3134,1,10,1368164,1275486,5870258,39.57,19.46,0.23
MOOS,3134,1,11,1185000,1091038,4594772,34.27,15.23,0.26
MOOS,3134,1,12,999700,897998,3503734,28.91,11.62,0.29
MOOS,3134,1,13,8.00E+05,697607,2605736,23.14,8.64,0.31
MOOS,3134,1,14,6.00E+05,504041,1908129,17.35,6.33,0.31
MOOS,3134,1,15,413828,384038,1404088,11.97,4.65,0.29
MOOS,3134,1,16,355000,326085,1020050,10.27,3.38,0.35
MOOS,3134,1,17,298000,259596,693965,8.62,2.3,0.43
MOOS,3134,1,18,223000,201117,434369,6.45,1.44,0.51
MOOS,3134,1,19,180000,144976,233252,5.21,0.77,0.77
MOOS,3134,1,20,112576,76268,88276,3.26,0.29,1.28
MOOS,3134,1,21,45030,12008,12008,1.3,0.04,3.75
MOOS,3134,1,21.8,0,0,0,0,0,0
JEWE,3198,1,0,171864,158756,704549,100,100,0.24
JEWE,3198,1,1,146000,132472,545793,84.95,77.47,0.27
JEWE,3198,1,2,119389,108260,413321,69.47,58.66,0.29
JEWE,3198,1,3,97500,85235,305061,56.73,43.3,0.32
JEWE,3198,1,4,73532,65091,219826,42.78,31.2,0.33
JEWE,3198,1,5,57000,48076,154735,33.17,21.96,0.37
JEWE,3198,1,6,39674,34829,106659,23.08,15.14,0.37
JEWE,3198,1,7,30200,25437,71830,17.57,10.2,0.42
JEWE,3198,1,8,20954,18943,46393,12.19,6.58,0.45
JEWE,3198,1,9,17000,13871,27450,9.89,3.9,0.62
JEWE,3198,1,10,10961,9176,13579,6.38,1.93,0.81
JEWE,3198,1,11,7500,4146,4403,4.36,0.62,1.7
JEWE,3198,1,12,1540,257,257,0.9,0.04,5.99
JEWE,3198,1,12.5,0,0,0,0,0,0
MIDD,3201,1,0,513201,480949,2430016,100,100,0.21
MIDD,3201,1,1,449403,417097,1949067,87.57,80.21,0.23
MIDD,3201,1,2,385604,353225,1531970,75.14,63.04,0.25
MIDD,3201,1,3,321806,297691,1178745,62.71,48.51,0.27
MIDD,3201,1,4,274211,241711,881054,53.43,36.26,0.31
MIDD,3201,1,5,210607,182099,639343,41.04,26.31,0.33
MIDD,3201,1,6,155008,140468,457244,30.2,18.82,0.34
MIDD,3201,1,7,126414,111812,316776,24.63,13.04,0.4
MIDD,3201,1,8,97820,83112,204964,19.06,8.43,0.48
MIDD,3201,1,9,69226,56701,121852,13.49,5.01,0.57
MIDD,3201,1,10,45039,34337,65151,8.78,2.68,0.69
MIDD,3201,1,11,24652,15606,30814,4.8,1.27,0.8
MIDD,3201,1,12,8066,7041,15208,1.57,0.63,0.53
MIDD,3201,1,13,6063,5028,8167,1.18,0.34,0.74
MIDD,3201,1,14,4060,3002,3139,0.79,0.13,1.29
MIDD,3201,1,15,2057,137,137,0.4,0.01,15.01
MIDD,3201,1,15.2,0,0,0,0,0,0
KEYS,3232,1,0,745741,700902,4166160,100,100,0.18
KEYS,3232,1,1,657000,611960,3465258,88.1,83.18,0.19
KEYS,3232,1,2,568000,521089,2853298,76.17,68.49,0.2
KEYS,3232,1,3,475545,457151,2332209,63.77,55.98,0.2
KEYS,3232,1,4,439000,419349,1875058,58.87,45.01,0.23
KEYS,3232,1,5,4.00E+05,381474,1455709,53.64,34.94,0.27
KEYS,3232,1,6,363244,331118,1074235,48.71,25.78,0.34
KEYS,3232,1,7,3.00E+05,269443,743117,40.23,17.84,0.4
KEYS,3232,1,8,240000,208342,473674,32.18,11.37,0.51
KEYS,3232,1,9,178214,148151,265332,23.9,6.37,0.67
KEYS,3232,1,10,120000,88852,117181,16.09,2.81,1.02
KEYS,3232,1,11,61000,27179,28329,8.18,0.68,2.15
KEYS,3232,1,12,4314,1150,1150,0.58,0.03,3.75
KEYS,3232,1,12.8,0,0,0,0,0,0
STEA,3234,1,0,997794,974807,8173944,100,100,0.12
STEA,3234,1,1,952000,928277,7199137,95.41,88.07,0.13
STEA,3234,1,2,904754,881274,6270860,90.68,76.72,0.14
STEA,3234,1,3,858000,832943,5389586,85.99,65.94,0.16
STEA,3234,1,4,808135,777874,4556643,80.99,55.75,0.18
STEA,3234,1,5,748000,717107,3778769,74.97,46.23,0.2
STEA,3234,1,6,686651,652024,3061662,68.82,37.46,0.22
STEA,3234,1,7,618000,579760,2409638,61.94,29.48,0.26
STEA,3234,1,8,542344,504203,1829878,54.35,22.39,0.3
STEA,3234,1,9,467000,428320,1325675,46.8,16.22,0.35
STEA,3234,1,10,390772,350648,897355,39.16,10.98,0.44
STEA,3234,1,11,312000,272286,546707,31.27,6.69,0.57
STEA,3234,1,12,234417,185192,274421,23.49,3.36,0.85
STEA,3234,1,13,140000,85191,89229,14.03,1.09,1.57
STEA,3234,1,14,40383,4038,4038,4.05,0.05,10
STEA,3234,1,14.3,0,0,0,0,0,0
PEAB,3374,1,0,2842113,2800956,30668304,100,100,0.09
PEAB,3374,1,1,2760000,2719902,27867348,97.11,90.87,0.1
PEAB,3374,1,2,2680000,2639899,25147446,94.3,82,0.11
PEAB,3374,1,3,2600000,2556170,22507547,91.48,73.39,0.12
PEAB,3374,1,4,2512589,2461116,19951377,88.41,65.06,0.13
PEAB,3374,1,5,2410000,2359823,17490261,84.8,57.03,0.14
PEAB,3374,1,6,2310000,2259816,15130438,81.28,49.34,0.15
PEAB,3374,1,7,2210000,2163780,12870622,77.76,41.97,0.17
PEAB,3374,1,8,2117886,2002862,10706842,74.52,34.91,0.2
PEAB,3374,1,9,1890000,1768643,8703980,66.5,28.38,0.22
PEAB,3374,1,10,1650000,1523289,6935337,58.06,22.61,0.24
PEAB,3374,1,11,1400000,1284101,5412048,49.26,17.65,0.26
PEAB,3374,1,12,1171590,1084663,4127947,41.22,13.46,0.28
PEAB,3374,1,13,1.00E+06,908513,3043284,35.19,9.92,0.33
PEAB,3374,1,14,820000,736996,2134771,28.85,6.96,0.38
PEAB,3374,1,15,657000,568130,1397775,23.12,4.56,0.47
PEAB,3374,1,16,483676,412647,829645,17.02,2.71,0.58
PEAB,3374,1,17,345483,273461,416998,12.16,1.36,0.83
PEAB,3374,1,18,207290,132021,143537,7.29,0.47,1.44
PEAB,3374,1,19,69096,11516,11516,2.43,0.04,6
PEAB,3374,1,19.5,0,0,0,0,0,0
COLD,3376,1,0,146701,136732,594462,100,100,0.25
COLD,3376,1,1,127000,116857,457730,86.57,77,0.28
COLD,3376,1,2,107000,96902,340873,72.94,57.34,0.31
COLD,3376,1,3,87144,78416,243971,59.4,41.04,0.36
COLD,3376,1,4,70000,60777,165555,47.72,27.85,0.42
COLD,3376,1,5,52000,43194,104778,35.45,17.63,0.5
COLD,3376,1,6,34950,29836,61584,23.82,10.36,0.57
