Year,Lake,YearDay
2003,Long_Lower,115
2004,Long_Lower,109
2005,Long_Lower,111
2006,Long_Lower,91
2007,Long_Lower,117
2008,Long_Lower,114
2009,Long_Lower,103
2010,Long_Lower,79
2012,Long_Lower,83
2014,Long_Lower,114
2015,Long_Lower,115
2016,Long_Lower,89
2017,Long_Lower,113
2018,Long_Lower,115
2003,Long_Upper,115
2004,Long_Upper,109
2005,Long_Upper,111
2006,Long_Upper,91
2007,Long_Upper,117
2008,Long_Upper,114
2009,Long_Upper,103
2010,Long_Upper,79
2012,Long_Upper,83
2014,Long_Upper,114
2015,Long_Upper,115
2016,Long_Upper,89
2017,Long_Upper,113
2018,Long_Upper,115
2003,Great,115
2004,Great,111
2005,Great,111
2006,Great,93
2007,Great,117
2008,Great,114
2009,Great,103
2010,Great,78
2014,Great,115
2015,Great,113
2016,Great,89
2018,Great,114
2000,Messalonskee,98
2001,Messalonskee,115
2002,Messalonskee,100
2003,Messalonskee,113
2004,Messalonskee,109
2005,Messalonskee,105
2006,Messalonskee,88
2007,Messalonskee,115
2008,Messalonskee,114
2009,Messalonskee,102
2010,Messalonskee,79
2015,Messalonskee,114
2016,Messalonskee,89
2017,Messalonskee,113
1966,North,112
1967,North,117
1968,North,109
1969,North,117
1970,North,119
1971,North,123
1972,North,128
1973,North,108
1974,North,104
1975,North,116
1976,North,109
1977,North,110
1978,North,118
1979,North,111
1980,North,100
1981,North,89
1983,North,93
1985,North,101
1986,North,100
1987,North,102
1988,North,101
1990,North,106
1991,North,101
1993,North,112
1994,North,114
1995,North,110
1997,North,113
1998,North,112
1999,North,97
2000,North,96
2001,North,114
2002,North,99
2003,North,113
2003,North,115
2004,North,108
2005,North,108
2006,North,90
2006,North,91
2007,North,114
2008,North,114
2009,North,101
2010,North,79
2011,North,109
2012,North,82
2013,North,98
2014,North,114
2015,North,110
2016,North,89
2017,North,114
2018,North,115
2003,McGrath,115
2009,McGrath,102
2012,McGrath,83
2015,McGrath,111
2016,McGrath,82
2018,McGrath,115
2004,East,106
2005,East,108
2006,East,86
2007,East,114
2008,East,114
2009,East,102
2011,East,109
2012,East,82
2013,East,104
2014,East,114
2015,East,110
2017,East,77
2003,Salmon,115
2009,Salmon,102
2010,Salmon,79
2012,Salmon,82
2015,Salmon,113
2016,Salmon,78
2017,Salmon,113