Year,Total PRCP,Total SNOW
1896,36.39,36.8
1897,38.1,57.8
1898,36.64,82.3
1899,29.97,61
1900,50.02,57.5
1901,43.34,59.5
1902,46.61,58.1
1903,34.52,61.1
1904,37,80
1905,30.47,43.5
1906,38.5,86.5
1907,35.69,66
1908,25.18,38
1909,40.26,61.3
1910,34.9,52
1911,31.67,55.8
1912,38.2,74.3
1913,36.04,45.6
1914,27.79,48.5
1915,38.73,36
1916,38.86,80.1
1917,36.13,78.1
1918,37.81,63.5
1919,35.1,35.7
1920,47.86,99
1921,32.96,50
1922,47.71,83.8
1923,36.18,95
1924,30.97,65.5
1925,40.02,59.3
1926,38.11,89.3
1927,41.46,77.5
1928,41.91,50.5
1929,33.17,86.8
1930,32.83,41.5
1931,38.44,62.3
1932,36.41,53.2
1933,38.77,73.2
1934,42.34,57.3
1935,36.87,51
1936,47.59,48.7
1937,42.26,44
1938,37.25,55.3
1939,30.51,53.3
1940,40.03,61.3
1941,24.88,21
1942,36.57,59.5
1943,41.31,81.8
1944,36.25,66.5
1945,41.82,90.5
1946,36.27,81.8
1947,35.12,58.2
1948,36.68,62.3
1949,32.09,38.7
1950,39.9,59.2
1951,45.66,49.4
1952,33.27,48.2
1953,44.88,20
1954,56.6,90.5
1955,35.52,60.8
1956,35.26,92.3
1957,30.59,50.9
1958,38.73,42.4
1959,44.8,83.8
1960,39.94,78.2
1961,37.13,81.6
1962,40,93.5
1963,38.42,91.5
1964,32.15,84.9
1965,31.71,59.5
1966,38.03,101.5
1967,41.66,64.5
1968,35.09,12
1969,46.48,27.5
1970,39.85,41.5
1971,38.74,57.5
1972,47.99,33
1973,52.57,13
1974,43.79,17
1975,34.91,86.9
1976,46.58,60.6
1977,48.78,83.5
1978,33.77,79
1979,51.47,49
1980,35.83,48.5
1981,44.26,59.7
1982,34.79,70.5
1983,54.34,42
1984,43.64,51.9
1985,30.23,26.5
1986,38.87,12
1987,33.98,64.9
1988,27.58,53.5
1989,38.53,48.2
1990,59.33,48.8
1991,37.52,27.2
1992,28.2,20.7
1993,34.75,75.6
1994,42.51,79
1995,40.81,92.7
1996,48.83,65.9
1997,36.57,65.4
1998,40.32,48
1999,43.62,57.8
2000,45.46,62.3
2001,26.86,84.1
2002,42.21,51.1
2003,45.12,76.5
2004,39.11,31.6
2005,61.97,67.5
2006,52.05,30.4
2007,43.17,106.1
2008,53.61,92.9
2009,48.7,70.6
2010,47.4,53.7
2011,42.68,89.2
2012,38.4,49.7
2013,45.76,91
2014,49.02,67.8
2015,40.73,82.2
2016,35.92,47.1
2017,42.95,100.2
2018,40.22,88.2
2019,44.31,70.2
2020,41.87,52.5
2021,41.88,33.7